I,II,III,IV,V,VI
"[False, np.float64(0.8572191152178074), np.float64(96.64429530201342), np.float64(12.99954270815613), np.float64(0.7310402980669519), -37.6190476190476 + 25.4993300404036/(X0**8*(X0 - 0.434))]","[False, np.float64(0.5358908722541502), np.float64(60.40268456375839), np.float64(19.884430928763305), np.float64(0.6097224650485168), -16.2215821779643*((0.479508196721312*X0 + 0.147209016393443)*(X0 + 0.002054) - (X0 - 0.488)/(X0 - 0.194) - 3.1897233201581)/(X0*(X0**2 - 0.184397163120567)) - 3.47014925373134*(1 - 1.38504155124654*X0)*(X0 + 0.061)*(11.4166666666667*X0 + 0.274)*(X0**2 + 0.675/X0)/(X0**2*(-0.476*X0 - 0.152/X0))]","[False, np.float64(-0.36897849376201), np.float64(17.449664429530202), np.float64(20.89554608857541), np.float64(0.4066248061828202), 13.1632395966701/X0**18.0]","[False, np.float64(0.788177741138433), np.float64(87.24832214765101), np.float64(13.29456850121628), np.float64(0.7435416860524613), -60.5399268486591*X0**2*(0.323563681348018 - 0.560428735578794*I)**3*((-X0 - 0.337)**1.0)**1.0 + 8*(3*X0 + 0.337 - 0.742*(0.3775 + 0.653849179857251*I)/X0)*(X0**3/2 - 0.463965403187397 - 1/X0**2)**3/((-X0 - 0.337)**0.111111111111111*(X0 - 0.246))]","[False, np.float64(0.7191442005937667), np.float64(79.86577181208054), np.float64(13.749140834889307), np.float64(0.748352996214364), -(exp(X0) + 1.0523228932832*exp(X0)/(X0 - 0.73))*(19.6078431372549*X0 - 17.6274509803922 - 0.899/(X0 - 0.73)) - 0.975]","[False, np.float64(0.6404736547719687), np.float64(65.77181208053692), np.float64(14.422809515379429), np.float64(0.7179481536375946), -(12.8284194516613/X0**5.91356842528776 + exp(2*X0))*(19.6078431372549*X0 - 20.546566478655) + 0.515]"
"[True, np.float64(-6.051106534213298), np.float64(14.765100671140939), np.float64(35.9309065137899), np.float64(0.24504548134693235), (-0.547987616099071*X0 - 0.584)*(-2*X0 - 0.01632*X0/(0.951 - X0) + 0.667)/(X0 - 0.875)]","[False, np.float64(0.44296078811739814), np.float64(57.04697986577181), np.float64(16.366125994428554), np.float64(0.6810987811475684), (X0 - 25.1486129032258)*(13.5135135135135*X0**2 - 15.3486820153487)/(0.774*X0**2 + 2.6366612111293*X0 - 1.78)]","[False, np.float64(0.7188957095960871), np.float64(99.32885906040268), np.float64(14.568284384819417), np.float64(0.759968167214946), (X0**0.111111111111111 - X0**3 + (X0 + (X0**3/(X0**0.333333333333333 - X0**3))**0.037037037037037 + (X0**0.333333333333333 - X0**3)**0.111111111111111)**0.333333333333333)**9]","[False, np.float64(-0.39310167288774256), np.float64(17.449664429530202), np.float64(18.789338385203415), np.float64(0.4964509746780872), 4.6074979760271*(-0.843881856540084*X0**3 + 0.843881856540084*(0.749991111005759*X0**0.333333333333333*(-0.843881856540084*X0**3 + 0.843881856540084*(X0 + 0.694)**0.333333333333333 + 1)**0.333333333333333 + X0)**0.333333333333333 + 1)**9]","[False, np.float64(0.8289309958129152), np.float64(95.97315436241611), np.float64(13.360513746906799), np.float64(0.8943924072502184), 12.3509252912954*(7.71828917579392 - exp(2*X0))*(9.18843949499276*X0 - exp(2*X0))*exp(1.58090900306142*exp(-X0))]","[False, np.float64(0.8411666593949421), np.float64(96.64429530201342), np.float64(12.863086600896851), np.float64(0.7006189989595167), -475.779451237138*exp(1.535*X0 - exp(X0**2))*log(X0)*log(-(0.004 - X0)*log(-2.50103603171788 + I*pi)/log(X0) - exp(0.967538559589032*exp(X0)) + log(log(X0)) + 0.033)/(X0*(0.004 - X0)*log(-2.50103603171788 + I*pi))]"
"[False, np.float64(-2.476843097783307), np.float64(17.449664429530202), np.float64(22.118291767304562), np.float64(0.35044544659110083), -0.886*(X0 + 1.702/(X0*(0.75 - X0)))/(X0*(X0 - 0.765))]","[False, np.float64(0.6709013891844411), np.float64(69.79865771812081), np.float64(14.213312332773707), np.float64(0.7257147532929403), -(X0 + (X0 - 47.3665)/(0.621*X0 - 0.142/X0))*((0.774 - 0.8*X0)*(1.5015015015015*X0 + 1.965 - 0.986/X0) + (1.2 - X0)/(X0**2 - 0.132)**2) - 0.331]","[False, np.float64(0.731933220914322), np.float64(99.32885906040268), np.float64(18.157299029472824), np.float64(0.8649879190234001), 1.30548302872063*(-X0/(X0**2 - X0 + 0.128) + 0.766*(-X0**0.333333333333333 + X0)**0.333333333333333)/(-X0**0.333333333333333 + X0)**0.333333333333333]","[False, np.float64(0.34771720682610696), np.float64(53.691275167785236), np.float64(17.506224462304694), np.float64(0.5759595651320573), 8.377795791*(0.492368291482029*X0**9 - 0.961595273264402*X0 - 1)**3.0*(X0**9 - 0.953*X0 - 0.836)**3.0]","[True, np.float64(0.9141786075982201), np.float64(99.32885906040268), np.float64(10.66702546491518), np.float64(0.9173364587068219), exp(X0) + exp(4.00282355160717*exp(-0.845*exp(0.627835/log(X0))/log(X0))/X0) - exp(exp(1.06609808102345*X0))]","[False, np.float64(0.8189566681459043), np.float64(99.32885906040268), np.float64(14.322665258911616), np.float64(0.7987557794733233), -24.2994534396836*(-log(X0) + (-0.220646671115623 + I*pi)*log(log(X0)) + 1.387)*exp(-X0**3)*exp((X0 + 0.71)/(X0 - 0.291))*log(X0**2)*log(X0 + exp(X0) - 0.291)]"
"[True, np.float64(-7.465022406852555), np.float64(17.449664429530202), np.float64(28.95909929260573), np.float64(0.2540406261987418), 7.28033472803347/(X0**2*(X0 + 0.04 - 0.745/X0))]","[False, np.float64(0.5348829726765113), np.float64(60.40268456375839), np.float64(15.748167022166879), np.float64(0.7381699691180842), -50.1133391455972*X0**4 + (1.99600798403194*X0 + 2/X0)/(0.196*X0 - 0.141708) - 0.745/X0]","[False, np.float64(0.0810269319814837), np.float64(17.449664429530202), np.float64(18.138591446848217), np.float64(0.5020460843279158), 939.64057875876*X0*(X0 + 0.176)/((X0**9 + X0**2)**3*(-X0**3*(X0 + 0.773) + (X0**9 + X0**2)**3 + 5.06666666666667))]","[False, np.float64(0.529447571051306), np.float64(71.81208053691275), np.float64(17.346575488681108), np.float64(0.7505614822360679), 5.29164603465495*X0**9*(-1.74259686605002*X0**3 - 0.744) + 30.3030303030303*X0/(X0**9 - 0.047443) - 0.744]","[True, np.float64(0.2280400652244018), np.float64(53.691275167785236), np.float64(18.366645036957106), np.float64(0.48968202347500084), exp((3.34448160535117*X0 + 0.525187467067436*exp(2*X0)*log(X0)*log(-0.0439518875291828 + I*pi))/X0) + log(log(X0)) - 8.44023215028011]","[True, np.float64(0.3805419746647086), np.float64(17.449664429530202), np.float64(16.75952180143559), np.float64(0.6448321623189328), exp((-2.11036789297659*X0*exp(-(-2.11036789297659*X0*exp(-1.34850962347291/log(X0)) - log(X0))/log(X0)) + exp(X0)*log(X0)*log(-0.227*log(X0)) - log(X0))/X0)]"
"[True, np.float64(0.7781319445569834), np.float64(99.32885906040268), np.float64(14.92133113875473), np.float64(0.8450857323800708), -12.6582278481013*X0**5 - 12.6582278481013*X0**3 + 11.2025316455696/(X0**2 - 0.678) + 0.583/(-X0**2 + X0)]","[False, np.float64(0.6144957242288156), np.float64(63.08724832214765), np.float64(15.592363770693769), np.float64(0.6838021844429494), -94.5723684210526*X0 + 36.9473684210526/(X0 - 0.678)]","[True, np.float64(0.8917352842892974), np.float64(99.32885906040268), np.float64(13.170103008256481), np.float64(0.9912892990226257), 31.3202252604111*(-0.147251041210294*X0**0.333333333333333 + 0.527781509714317*X0 - 1)**3/((-(X0 - 0.969)/X0**36)**0.333333333333333*(-X0**3 - 0.461*X0))]","[True, None, None, None, None, 10.339422444537*(0.973 - X0)**0.333333333333333*(0.009800344*(-0.127133338300444 - (X0 + 0.85)/X0)**3*(-0.920122856938871*X0**0.333333333333333 - 92.3991772477851) + (X0**1.0 - 0.264408*X0**2)**9)*(0.5249343832021*(0.633302553136292 - X0**3)/X0**0.111111111111111 - 0.491059127553899*X0**5*(-X0 + (X0 - 0.759)**3 - 0.418)/(((X0**2 + 0.314815)/(-X0 - 0.201))**0.333333333333333*(X0**2)**0.333333333333333) + X0 - 0.5249343832021*(X0 - 0.940372304199773)**3 - 0.472838024403324*(-0.898965960058481*X0 + 0.577350269189626 + I)**0.333333333333333 + 0.293963254593176)**3*(X0**1.33333333333333)**0.111111111111111/(X0**2.33333333333333*(-0.110012251251251*X0 + 0.255911132484291 - ((0.446474509558454 + 0.773316534839638*I)**3)**0.333333333333333 + 0.443251083685282*I + 1/(X0 + 0.97) + 0.343989769820972/X0))]","[False, np.float64(0.8460199123682648), np.float64(95.97315436241611), np.float64(12.633954589748884), np.float64(0.8257044139602961), 3.6231884057971*(X0 - 13.6054421768707*E*log(X0)/(X0*log(2*X0)))/log(X0 + 0.468)]","[False, np.float64(-1.1556882465632325), np.float64(23.48993288590604), np.float64(20.554240746219804), np.float64(0.44151226549299066), 12.4326079219862*(-3*X0 + 2.466 + 0.919/(X0 - 0.098))/(X0*(log(2*X0) - 0.306525160253261 + I*pi)*log(X0 + 0.822))]"
"[False, np.float64(0.751247672055616), np.float64(82.5503355704698), np.float64(13.441125490215358), np.float64(0.7799965193831636), 5.15669515669516*(-X0 - 0.691)*(-X0 - 0.083)*(X0 + 1.81)*(X0**4 - 1.159)/(X0**3*(0.738 - X0))]","[False, np.float64(0.6080566436464834), np.float64(61.74496644295302), np.float64(14.898858898859435), np.float64(0.721843730381631), (-56.3205663141674*X0 - 38.9175113230897)*(X0**3 - 1.159)/(X0**2*(X0 + 0.293 - 0.5795/X0))]","[False, np.float64(-0.5676401500130386), np.float64(17.449664429530202), np.float64(19.231504754537383), np.float64(0.5062982154064056), (X0**(-0.666666666666667) - X0**3 + X0 + 0.414)**9]","[False, np.float64(-0.2787777951042487), np.float64(53.02013422818792), np.float64(20.077011378479767), np.float64(0.5175862668551838), -X0**27 + 23.1158870383003/X0**11]","[False, np.float64(-2.4744522679937453), np.float64(17.449664429530202), np.float64(24.18849605088501), np.float64(0.3144720120307006), exp(exp((-X0 - 1.89462755393907)*log(log(2*X0))))]","[False, np.float64(0.3798553681187249), np.float64(17.449664429530202), np.float64(16.7567419470893), np.float64(0.6256400705632315), exp(-2.60369018577797/log(X0))/((X0 + exp(2*X0))*(2*X0 - exp(3*X0)*log(log(X0))))]"
"[False, np.float64(-7.765916093078751), np.float64(17.449664429530202), np.float64(24.580191886233408), np.float64(0.2893123136825925), -8.984925/(X0**2*(0.719*X0**2/(X0**2 + X0) - 1.39082058414465*X0*(X0 - 0.524)))]","[False, np.float64(0.5161330595900642), np.float64(61.74496644295302), np.float64(16.662990333953527), np.float64(0.7423962338788918), -1.99168399168399*(2*X0 + 0.421)*(4*X0 - 1.548)*(6*X0**2 - (X0 + 0.778)/(X0 - 0.774))]","[False, np.float64(0.6441685479861057), np.float64(99.32885906040268), np.float64(16.118261573771193), np.float64(0.7096467418106238), X0**1.33333333333333*(X0**3)**3.0/(X0**0.333333333333333 - X0**2) + 0.713 + (X0**3 + X0)**3/X0**27]","[False, np.float64(0.7091575834211339), np.float64(81.87919463087249), np.float64(14.936789228813026), np.float64(0.6808319548845883), 9.8152764963389*X0**3*(-X0 - 0.338)**3 - 1.7678505662957/(0.6 - X0)**3 - 1.647212741*(-0.846740050804403*X0 - 1)**3/X0**9]","[False, np.float64(0.8601531281268981), np.float64(97.31543624161074), np.float64(12.364140591836811), np.float64(0.8045330660724349), 5.81395348837209*X0 + 250.097060471332*(2.0020725388601 - 2*X0)/X0**5]","[False, np.float64(0.8142776017702391), np.float64(93.95973154362416), np.float64(13.559880337700505), np.float64(0.7551799037986496), 0.286 + 21.8525947072646*log(2.01088204956106 - 2.93255131964809*X0)/(X0**2*(-0.196530432 + 0.042848/X0))]"
"[False, np.float64(0.6443222961619044), np.float64(70.46979865771812), np.float64(13.546422320143948), np.float64(0.7716641901688026), 30.8461538461538*(0.792 - X0)*(7.40740740740741*X0 - 1.24444444444444) + 10.0806451612903 - 10.0806451612903/(0.792 - X0)]","[False, np.float64(-48.161075621886184), np.float64(17.449664429530202), np.float64(27.82333525480775), np.float64(0.15491283489889096), 8.616669/(X0*(X0 - 0.775))]","[False, np.float64(-0.9173853466168902), np.float64(17.449664429530202), np.float64(18.863414101214758), np.float64(0.3997701913366255), 17.7529382756637/X0**15]","[False, np.float64(0.8844666613530178), np.float64(97.31543624161074), np.float64(10.23376434118896), np.float64(0.7955220714284356), 7.05070432154409*(-8*X0**3 - 1.535*X0)*(-X0 + 0.541270771733225*(X0**(-3))**0.333333333333333 + 0.4775)**0.333333333333333/(X0**9*(-X0**4)**0.333333333333333)]","[True, np.float64(-0.39462035617342317), np.float64(62.41610738255034), np.float64(20.045324507649077), np.float64(0.6288873587739687), -X0/log(X0) - log(X0) + 0.686 - (1.93656819252355 - I*pi)/(-0.61803970807314 + 0.525/X0)]","[False, np.float64(-43.656764628924584), np.float64(17.449664429530202), np.float64(29.35818040078856), np.float64(0.1300580979685035), exp((-1.18764845605701*X0 - 0.173396674584323)/(0.6 - X0))]"
"[False, np.float64(-7.7560733266437545), np.float64(17.449664429530202), np.float64(23.347498216868203), np.float64(0.26812169973647093), -4.47638047386828/(X0**2*(0.833 - X0))]","[False, np.float64(0.5703400137814973), np.float64(69.79865771812081), np.float64(15.797086879354106), np.float64(0.7388164858090434), -17.9906927082042*X0**3*(4.78551532033426*X0 - 0.724 - 1.159/(X0 - 0.775))]","[False, np.float64(-0.9174102773989654), np.float64(17.449664429530202), np.float64(18.933598733654694), np.float64(0.4166230348073332), 18.462541707/X0**15]","[False, np.float64(0.7533473585459108), np.float64(82.5503355704698), np.float64(13.119757023927981), np.float64(0.7328882286211257), 8.41161293068288*(-1/X0**5)**0.333333333333333*(X0**0.333333333333333 + 0.952)**3*(X0 - 1.249643075964/X0**5)]","[True, np.float64(0.3633892640755638), np.float64(99.32885906040268), np.float64(13.157325189343567), np.float64(0.8576462092617392), (-X0 - 3.57142857142857*log(X0))*(X0 - 0.626)*exp(X0)/log(X0) + 1.87011513782409*exp((-1.27296567581289 + I*pi)/((-X0 - 0.35)*(X0 - 0.626)))]","[False, np.float64(0.5827837061790573), np.float64(70.46979865771812), np.float64(15.02536380614879), np.float64(0.7479648279059546), X0*(-41.6666666666667*X0 + log(-40.6666666666667*X0**3 + 0.460449416440924/(X0*(0.009*X0 + 0.009*log(X0))))) - 41.6666666666667*X0 + 51.1610462712138/X0**3 + 51.1610462712138/X0**4]"
"[True, np.float64(-13.589266779577747), np.float64(17.449664429530202), np.float64(26.18752798202137), np.float64(0.19154026188470027), 3.66135458167331/(X0 - 0.848172)]","[False, np.float64(0.6551255276788963), np.float64(67.78523489932886), np.float64(13.894841755354678), np.float64(0.7072702060356411), 19.3573364305072*(8.4484783387039*X0**2 - 9.2624783387039)/(X0**3*(-0.7002457002457*X0 - 0.115540540540541))]","[False, np.float64(0.9150371715068174), np.float64(99.32885906040268), np.float64(9.6085792434571), np.float64(0.9086522655512669), ((-X0**27 + X0)**0.333333333333333 + 0.287496)/(X0 - 0.66)**3]","[False, np.float64(-0.7994873394888875), np.float64(53.02013422818792), np.float64(17.668859448557136), np.float64(0.7089324590925832), 512*(-X0/8 - (X0 - 0.488)**3*(X0 + 0.4525)**3*(X0 + 0.992)**0.333333333333333 + (X0 + 0.899)**3/8 + 0.142570824)**3]","[False, np.float64(-1.2751410526263185), np.float64(17.449664429530202), np.float64(20.374447006765024), np.float64(0.3764699908929892), exp((X0 + 1.89458534635009/X0)/X0**2)/X0**7]","[False, np.float64(-0.6223300531018661), np.float64(39.59731543624161), np.float64(18.46690934083509), np.float64(0.49227122362722864), -199.499582288356*(X0 - 1.11129172705063 + I*pi)/X0**6]"
