I,II,III,IV,V,VI
"[True, np.float64(0.850428504502206), np.float64(99.32885906040268), np.float64(11.768040920761974), np.float64(0.9111591391886764), X0**2/(1 - X0**2) + X0*(-30.8461538461538*X0**2 - 30.8461538461538*X0 + 24.8928461538462) - 10.0806451612903/(0.807 - X0)]","[True, np.float64(-19.545698740947042), np.float64(17.449664429530202), np.float64(23.977639989376847), np.float64(0.2040006945414256), 0.116/(X0 - 0.879) + 7.12/(X0**2*(X0 - 0.775))]","[False, np.float64(0.5100545588297274), np.float64(59.73154362416108), np.float64(13.711865281286574), np.float64(0.6367474115403037), -(X0**6 + X0)**3 - 1.67518866410284/(X0**3*(0.6 - X0)**3)]","[False, np.float64(0.5349381177849584), np.float64(59.73154362416108), np.float64(14.374760174834023), np.float64(0.6371689759579562), -8.26446280991736*(-X0 - 0.529)**3/X0**11.6666666666667 - 10.3551059188479*X0**9/(X0**(-2))**0.333333333333333 - 0.089]","[False, np.float64(-0.3651932003251861), np.float64(17.449664429530202), np.float64(17.71484807409405), np.float64(0.4211537297368054), exp(log(log(X0*(0.604 - X0))/(0.6 - X0))/(0.6 - 0.295*X0))]","[False, np.float64(0.6813930160812783), np.float64(80.53691275167785), np.float64(16.285289244125508), np.float64(0.6547517838071445), -exp(exp(X0)) + exp(exp(1.072/(X0 - 0.15))) - exp(exp(X0 + (X0 - 0.631)*exp(-X0))) + exp(-1.18764845605701*X0/(0.6 - X0)) - 1.072/(X0 - 0.15)]"
"[True, np.float64(-5.234193596223169), np.float64(17.449664429530202), np.float64(31.337038593307735), np.float64(0.18867474670052622), (-X0 - 0.625)/(0.875 - X0)]","[False, np.float64(0.6392592439342516), np.float64(65.77181208053692), np.float64(12.873752443979699), np.float64(0.7203502668916212), (X0 - 0.775)/(0.00756899999999999*X0 - 0.015747) + 1.43516292687127*(0.362 - 0.087*X0)/(X0*(0.829 - X0)) + 10.9885057471264/(X0**2*(X0 - 0.775))]","[False, np.float64(-0.06599241442224124), np.float64(17.449664429530202), np.float64(20.399384700075462), np.float64(0.376771400069612), (X0**2 + X0)**3/X0**27]","[False, np.float64(-10.437017430050094), np.float64(53.02013422818792), np.float64(16.841874881202727), np.float64(0.9502184909868533), (2*X0/(X0 - 0.166375)**3 - (X0 - 0.096)**9*(X0**9 + X0 - 0.096))**3]","[True, np.float64(0.7715224759652108), np.float64(99.32885906040268), np.float64(12.046573962825274), np.float64(0.7744714246680796), -0.2548*(-log(log(0.111/log(X0))/log(X0)) + 1/(X0 - 0.868))/log(X0)]","[False, np.float64(0.41920730273770235), np.float64(57.04697986577181), np.float64(15.370457921411123), np.float64(0.7128507109391311), -267.737617135208*log(X0) - 20.5850208002394 - 111.111111111111*(log(X0) - 0.415)/X0**2]"
"[True, np.float64(-18.182989492808776), np.float64(17.449664429530202), np.float64(25.33657377028011), np.float64(0.1888915735843227), (2*X0 + 2.128516)/(X0 - 0.848172)]","[False, np.float64(0.5132754935186177), np.float64(59.73154362416108), np.float64(13.851373705583773), np.float64(0.7053747949286304), 19.3573364305072*(7.02040816326531*X0**2 - 7.83440816326531)/(X0**2*(0.326 - X0))]","[False, np.float64(-3.078317152008518), np.float64(17.449664429530202), np.float64(19.309219499819672), np.float64(0.3685851396412823), 1/(X0**2*(X0 - 0.66)**3)]","[False, np.float64(0.31305923178821615), np.float64(54.36241610738255), np.float64(15.172951826962777), np.float64(0.5999710476552533), 8*(X0*(-2.52163630648878*X0**4 + 0.642735647 + 2/X0**2) + X0/2 + 0.4795)**3]","[True, np.float64(0.8990455635696534), np.float64(99.32885906040268), np.float64(9.87719931839079), np.float64(0.7788643909489963), -31.3030303030303*X0 + exp(1.89458534635009/(X0 - 0.488)) - log(exp(1.89458534635009/log(X0))) + 1.33193669255554 - I*pi]","[False, np.float64(-2.2685036446250098), np.float64(19.463087248322147), np.float64(20.768194766990675), np.float64(0.38561929508705106), -(-14.2344619390318*exp(0.469071532895939/X0) + log(log(X0**2 + 0.189950583958446 - I*pi)))*exp(-X0)/log(X0 + 0.231) - exp(exp(X0)) - 0.757]"
"[True, np.float64(-0.260640770524335), np.float64(99.32885906040268), np.float64(15.132030952297008), np.float64(0.8237113340409057), -0.727*X0 - 1.21571906354515/(X0 - 0.995) + 2.51889168765743/(X0**2*(X0 - 0.85))]","[False, np.float64(0.6410793860489404), np.float64(65.77181208053692), np.float64(14.03249509856137), np.float64(0.7229870813866301), (81.4366318309421*X0*(X0**2 - 1.139) + 3*X0 + 0.353)/(0.699*X0 + (0.358 - 3*X0)*(0.674*X0 - 0.412) - 0.412)]","[False, np.float64(0.7696587657918443), np.float64(83.89261744966443), np.float64(12.603332893643524), np.float64(0.7177226505546601), -27*X0**3 - 1.37931034482759*X0 + 1.37931034482759*X0/(X0 - 0.678)**3]","[False, np.float64(0.6413973623615259), np.float64(81.87919463087249), np.float64(17.51832301410966), np.float64(0.6098539666008983), X0**0.333333333333333*((-X0 - 0.401947272)**9 - (-X0 - 0.04)**3/(X0 - 0.678)**3)]","[False, np.float64(0.7262652042973462), np.float64(99.32885906040268), np.float64(10.085024521294521), np.float64(0.9775720165964455), exp((-log(X0) + 1.06822671716599 + 0.238/X0)/(0.363832849149905*X0**2 + 0.0240129680438938)) - 1.01106072244472 + 2.74851488076598/(log(X0) - 0.238/X0) - 0.755555555555556/(X0*log(X0))]","[True, np.float64(0.8620182620177129), np.float64(98.65771812080537), np.float64(12.695649170469391), np.float64(0.7894595456876763), 125.141785643134*exp(X0)*log(X0)*log(log(0.898 - X0))*log(0.465/log(log(X0))) - log(log(X0))]"
"[False, np.float64(0.720181089684458), np.float64(87.91946308724832), np.float64(11.607973892235579), np.float64(0.7758676714005343), (X0 - 99.2222222222222)*(X0 - 0.921/(X0**2*(X0 - 0.192)))/X0**3]","[False, np.float64(0.5458783213161962), np.float64(65.77181208053692), np.float64(12.913618214320593), np.float64(0.7312896133056592), (X0 - 99.2222222222222)*(X0**2 - 1.210027100271/X0**2)/X0**3]","[True, np.float64(0.8308928258093516), np.float64(99.32885906040268), np.float64(9.748921912761006), np.float64(1.04101603339381), -X0**27 + 0.790699836167038*(0.577350269189626 + I)**0.333333333333333/((X0 - 0.266)**9*(X0**3 - X0)**0.333333333333333)]","[True, np.float64(0.7516810161619729), np.float64(97.31543624161074), np.float64(12.23514816302565), np.float64(0.8476894176603981), -12.5786163522013*X0**6 + 20.6611570247934*(0.11 - 0.190525588832577*I)*(2*X0 + ((0.378849242583755 + 0.65618613656405*I)/(X0 - 0.981))**0.333333333333333)/(-X0**6 + X0**2 + 0.251325077496456 + 0.435309894491671*I) + 0.775286054653182]","[False, np.float64(0.5292309510822144), np.float64(63.08724832214765), np.float64(15.074418317201738), np.float64(0.8553531420834445), 26.769518259161 - 484.5*log(X0)]","[False, np.float64(0.8321970578915665), np.float64(96.64429530201342), np.float64(14.150749589493385), np.float64(0.826059875986069), 22.7272727272727*X0 + log(X0**(-60562.5)) + log(X0**(-484.5)) - 242.25*log(X0)]"
"[True, np.float64(-0.753489053107643), np.float64(61.74496644295302), np.float64(18.58501108852015), np.float64(0.8106581267014327), -1.38121546961326*X0**2/(X0 - 0.996) + (7.09249122807018 - X0)/(X0 - 0.799)]","[False, np.float64(-104.75602637577855), np.float64(17.449664429530202), np.float64(28.373760168432142), np.float64(0.10129363359848803), 7.66965271812492/(X0 - 0.787)]","[False, np.float64(-1.5554121261080316), np.float64(97.98657718120805), np.float64(11.63203553628205), np.float64(1.1948062981819347), 2*X0**9 + 0.683990378670679*(-1/X0)**0.333333333333333 - 3.71747211895911*(X0 + 0.629)**3 + 58.349728673819*(-0.798790618052496*X0**9 - 0.273182548660156*(-1/X0)**0.333333333333333 + 1 - 0.152966237804551*I)**3 - 2.4827264158016 + 0.419469185898802*I]","[False, np.float64(0.8204816634512355), np.float64(93.95973154362416), np.float64(21.147470195196572), np.float64(0.511796874199257), -6534344323.66605*(0.000626602460009158 - X0)**3*(X0**(-3.33333333333333) + X0**9*(0.362574501156131 + 0.62799745753136*I))*(-X0**2 + 0.384286642170832 + 0.665603988909922*I)**3/(X0**9*(X0**2 + (X0 + 0.47)**0.111111111111111))]","[False, np.float64(0.8579417875645291), np.float64(97.31543624161074), np.float64(12.309087919297662), np.float64(0.7879190285699282), 2065.29402353959*(-X0*(exp(X0*(exp(X0) - 1.53247687129797 + I*pi)) - 1.66600826392249 + I*pi) + 1.81666063533055)*exp(-4.20168067226891*X0**2)]","[False, np.float64(0.22915115904001804), np.float64(55.033557046979865), np.float64(16.56912747789581), np.float64(0.6906122788737877), -56.2278263252664*X0**2 + 56.2278263252664*X0 - 56.2278263252664*exp(X0) + 55.3844089303874 + 345.873257461701*exp(-X0**2)]"
"[False, np.float64(0.7737882821022394), np.float64(91.2751677852349), np.float64(12.039912055774701), np.float64(0.8663232036705993), X0*(0.01*X0 + 0.33) - 48.780487804878*X0 - 78.6*(X0**2 - X0 - 0.267)/(X0*(X0 - 0.675))]","[False, np.float64(0.5425127977604849), np.float64(60.40268456375839), np.float64(14.381490682424726), np.float64(0.7413926603735663), -24.390243902439*X0**3*(X0 + zoo*(0.00675*X0 + 0.00675) + 0.304) - 0.53055/((-0.01*X0 - 0.01)*(X0 - 0.675))]","[True, np.float64(0.5588590025587958), np.float64(99.32885906040268), np.float64(12.609740749481743), np.float64(0.7022308707790973), (X0**3*(X0 + 0.902) - X0 + 0.946)/(1 - X0**3) + 14.0013147163126/(X0**18*(1/X0)**1.0)]","[False, np.float64(0.7607808143902284), np.float64(97.98657718120805), np.float64(12.480452788535496), np.float64(0.7071156828537448), 0.618237222078419*(((X0**0.333333333333333 - 2*X0)**3 + 8.0*(X0**0.333333333333333/512 + X0/256 + (0.4259465 - X0)**9 + 0.0014140625)**0.333333333333333)/X0**0.333333333333333 + X0 + 0.724)**3/(X0 - 0.42)**3]","[False, np.float64(0.8718177695987721), np.float64(97.31543624161074), np.float64(14.093681207628213), np.float64(0.7259545002806929), (-exp(X0*(exp(X0) + log(log(X0)))) + exp(X0*(X0 + 0.891)/(exp(X0) - 2.04022082852655))*log(X0) + log(0.646*X0*log(log(X0))) + (-1.36649173382371 + I*pi)/(X0 + 0.303))/log(X0)]","[False, np.float64(0.7494227286586181), np.float64(81.87919463087249), np.float64(12.18460091979132), np.float64(0.7289644248203113), exp(exp(X0)) + 0.927/X0 - 69.4444444444444*(exp(0.036*X0) + 0.927/X0)*(-X0**2 - 2.84731226843572 + I*pi)*log(X0)/X0**3]"
"[True, np.float64(-17.444530124932726), np.float64(65.77181208053692), np.float64(23.989493444660145), np.float64(0.9521955575810035), (1.987*X0 + 19.7965238095238 - 0.79/(X0 - 0.987) - 0.79/(0.5*X0 - 0.4935))/X0]","[False, np.float64(0.39244240507572603), np.float64(56.375838926174495), np.float64(14.059653487884637), np.float64(0.6193768396165265), -52.6315789473684*X0**3 - 0.02166*X0**2/((-0.276 - 0.587/X0)*(X0 - 0.395)) + (2.06*X0 + 0.754)*(10.4166666666667*X0 + 1)/(2*X0*(X0 - 0.924) + 0.276)]","[True, np.float64(0.6819993279452218), np.float64(99.32885906040268), np.float64(15.621965104661147), np.float64(0.6194562887495337), X0**9/(-X0**3 + X0) + (X0 + 0.273)**9/X0**27]","[False, np.float64(0.7635457298520043), np.float64(83.89261744966443), np.float64(12.055626276113754), np.float64(0.7406861027604651), X0**9 - (X0**3 + 0.496)**3 - (X0**3 + X0)**3 + 1.25992104989487*(-0.925874712287291*X0**9 + ((((X0 + 0.248)**3 - 0.028428625)**0.037037037037037/X0**3)**0.333333333333333 + 0.483428686124726)**3 - 0.925874712287291*(0.390122687676971 + 0.675712316241839*I)**3)**3 - 1.2970168612192*(X0**3)**1.0 - 0.216456]","[False, np.float64(0.599069516049043), np.float64(63.08724832214765), np.float64(12.912207103383988), np.float64(0.7969602496806891), X0 - (1.4549914146182*X0**2 + exp(1.4549914146182/(0.515*X0 - 0.0315177478580171)))*(19.6078431372549*X0*(X0 - 0.92) - 2.55009563985276) + exp(X0) - 1.45113086429162 + 0.051/X0]","[False, np.float64(0.6892505574473227), np.float64(72.48322147651007), np.float64(12.663906332325833), np.float64(0.7410860765556225), -(24.5347842843692*X0 - 24.4967758557481)*exp(7.86692609413764*exp(-X0)) + 1.05074981372119*exp(7.86692609413764*exp(-X0)) + 0.009768/X0]"
"[True, np.float64(0.8799859669436292), np.float64(99.32885906040268), np.float64(10.618534560468829), np.float64(0.7947850171464854), (X0 + 1)*(X0 + (1 - 15.625*X0)*(X0**2 - 1) - 0.066 - 0.0605216970283847/(X0*(X0**2 - 1)))/(X0 - 0.817)]","[False, np.float64(0.6917465586310219), np.float64(81.87919463087249), np.float64(13.980213658680672), np.float64(0.6787467499907681), 98.3333333333333*(X0 - 0.95)*(-14.9510916666667*(-X0 - 0.261)*(X0 - 0.95) - 7.46059474166667) + 49.0683333333333]","[False, np.float64(0.47559943182775266), np.float64(60.40268456375839), np.float64(14.779427565800018), np.float64(0.72506586891232), -X0**27 - 9*X0**3 - X0 + 7.916293657*(0.501756146512795*X0 + X0**(-6))**3 - ((0.992 - X0)**3)**0.333333333333333 - 1.032 + X0**(-6)]","[False, np.float64(0.695233142504279), np.float64(76.51006711409396), np.float64(18.537230103103564), np.float64(0.5567702520437946), -7*X0**3 - 1.98240781977309*(X0**3 + 0.796041420388201*X0)**3 + 0.381 - (0.333971001581969 + 0.578454742994636*I)**3 + (0.662700164414729 - 0.584220452618319*I)/(X0 - 0.619)**3]","[True, np.float64(0.8677386206299859), np.float64(99.32885906040268), np.float64(10.271808998742202), np.float64(0.9567849060614304), (X0 - 0.411)/(X0 + 0.669) - (-0.782*X0 - log(exp((-X0 - 0.641)/log(X0))) + log(log(X0)))/log(-1.30333333333333*X0) - 0.782/(-X0**2 - 1.01920666666667*X0)]","[False, np.float64(0.04839368706619562), np.float64(53.02013422818792), np.float64(15.471507661690708), np.float64(0.5609524290627931), (-exp(0.426*X0 + exp(X0)) + 0.538 + 26.3357445986482*exp(0.032461440410968*exp(X0))/(X0**3*log(2*X0)))*log(log(exp((-X0 - 1.22787280169862 + I*pi)/(exp(X0)*log(X0) + log(2*X0)))))]"
"[False, np.float64(-1.9257036249411064), np.float64(17.449664429530202), np.float64(19.74993824144396), np.float64(0.420978906092224), (-2*X0 + (-X0 + (-X0 + (-X0 - 0.85/(0.074984 - 0.103*X0))/X0**2)/X0)/X0**3)/X0]","[False, np.float64(0.6513429649797544), np.float64(70.46979865771812), np.float64(13.27387042544471), np.float64(0.704779594756214), -(X0 + (0.656*X0 - 48.1875)/(0.621*X0 - 0.142/X0))*((0.774 - 0.8*X0)*(X0 + 1.793) + 1.61030595813205*(1.227 - X0)/X0) - 2.90697674418605*(2*X0 + 1.88154627949183 - 0.553/X0)/X0]","[False, np.float64(0.7271494037997208), np.float64(87.91946308724832), np.float64(12.764931606630796), np.float64(0.8477311109122619), 5.72485612134162*((-X0**9 - 0.174676879*X0**3 + 0.003842891338 - 0.174676879*(X0**12 - X0 - 0.896)/(X0 - 0.647)**3)**3)**0.333333333333333]","[False, np.float64(0.7950373288625865), np.float64(98.65771812080537), np.float64(13.872455024932066), np.float64(0.7385363747415182), ((0.939 - X0)**0.333333333333333 + 0.367663398044502)*(-X0 + 4.05480133038227*(-X0 - 0.001119276915)**0.333333333333333 - 8.0251025206847*(0.1765 - 0.305706967535907*I)*(0.176733714823409 + 0.306111773484533*I)**3)/(0.176733714823409 + 0.306111773484533*I)**3]","[True, np.float64(0.06051260898311861), np.float64(99.32885906040268), np.float64(14.22536489922626), np.float64(0.7462772902302687), -X0**4/log(X0) + (2*X0 + 1.02224378447044)/(X0**2 - X0 + 0.128) + zoo*(exp((2*X0 + 1.02224378447044)/(X0**2 - X0 + 0.128) - 0.556/log(X0 + 0.491)) + 1.17233794668072 - 0.735/X0)]","[True, np.float64(0.24697677182182964), np.float64(17.449664429530202), np.float64(16.685260290887168), np.float64(0.6945470874336943), exp(4.00282355160717*exp(exp(0.721083743026607*exp(X0)/log(X0) - (-(-X0*log(-1.47469824591972/X0) + log(X0))/log(X0) + 1.528)/X0)/(log(X0) - 1.387))/X0)]"
