refcode,metal,total_charge,multiplicity,elem_nr,m_ox,d_elec,CN,geometry,rel_m,splitting
MENWUY,Fe,0,5,26,2,6,6,Octahedral,1.122,-13.86
EGUVOR,Fe,0,5,26,2,6,6,Octahedral,1.114,-37.76
ZIZHOI,Fe,0,1,26,2,6,6,Octahedral,0.91,51.06
IDUBEO,Fe,-1,1,26,2,6,6,Octahedral,0.889,108.13
GUTYAY,Fe,0,1,26,2,6,6,Octahedral,0.924,50.56
UDUMEL,Fe,1,5,26,2,6,6,Octahedral,1.119,-20.53
FEWRIK,Fe,1,5,26,2,6,6,Octahedral,1.117,-24.74
GEFZEX,Fe,1,1,26,2,6,6,Octahedral,0.917,50.02
CEHHON,Fe,2,1,26,2,6,6,Octahedral,0.891,134.45
BAMBAV,Fe,-4,1,26,2,6,6,Octahedral,0.891,132.98
XESMUG,Fe,-2,1,26,2,6,6,Octahedral,0.883,130.22
CADYEM,Fe,-1,1,26,2,6,6,Octahedral,0.865,159.07
XIHVIT,Fe,-2,1,26,2,6,6,Octahedral,0.883,136.86
DUGPIF,Fe,-2,1,26,2,6,6,Octahedral,0.883,147.03
ILURIR,Fe,-3,1,26,2,6,6,Octahedral,0.922,89.69
QOKSOY,Fe,0,1,26,2,6,6,Octahedral,0.881,118.89
AQIZEF,Fe,-2,1,26,2,6,6,Octahedral,0.886,120.34
HAXCOA,Fe,-1,1,26,2,6,6,Octahedral,0.886,93.63
CUCQIB,Fe,0,1,26,2,6,6,Octahedral,0.871,93.57
SAGFUB,Fe,0,1,26,2,6,6,Octahedral,0.886,85.52
DEKFAD,Fe,0,1,26,2,6,6,Octahedral,0.883,104.89
HIFCAD,Fe,1,1,26,2,6,6,Octahedral,0.902,89.23
IDUBOY,Fe,-1,1,26,2,6,6,Octahedral,0.886,102.11
AQIYAA,Fe,-2,1,26,2,6,6,Octahedral,0.894,108.23
AQIYII,Fe,-1,1,26,2,6,6,Octahedral,0.893,107.26
FOQNOP,Fe,0,1,26,2,6,6,Octahedral,0.857,175.48
NIVWOF,Fe,0,1,26,2,6,6,Octahedral,0.882,179.41
XABHIV,Fe,1,1,26,2,6,6,Octahedral,0.856,166.1
NEBKIR,Fe,-1,1,26,2,6,6,Octahedral,0.885,80.52
COSGEW,Fe,0,1,26,2,6,6,Octahedral,0.883,118.66
DEKFEH,Fe,0,1,26,2,6,6,Octahedral,0.895,92.81
GOJZIP,Fe,-1,1,26,2,6,6,Octahedral,0.948,69.84
UCIWOS,Fe,0,1,26,2,6,6,Octahedral,0.934,88.91
SADRAU,Fe,0,1,26,2,6,6,Octahedral,0.923,103.52
VUJMAP,Fe,0,1,26,2,6,6,Octahedral,0.935,94.46
MALGIQ,Fe,1,1,26,2,6,6,Octahedral,0.887,134.9
ITEXOU,Fe,-1,1,26,2,6,6,Octahedral,0.898,78.24
ILASOE,Fe,1,1,26,2,6,6,Octahedral,0.898,84.18
QOSZON,Fe,0,1,26,2,6,6,Octahedral,0.834,191.59
PUCFID,Fe,0,1,26,2,6,6,Octahedral,0.903,76.52
AJIMOV,Fe,0,1,26,2,6,6,Octahedral,0.903,106.56
FURPEO,Fe,-2,1,26,2,6,6,Octahedral,0.96,38.73
XOPSEB,Fe,1,1,26,2,6,6,Octahedral,0.955,73.84
