refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
KIPLIH	Cr	0	0	5	264	Square pyramidal	2.76	('C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'H25-C20-N-O4']	H25-C24-N-O8-Cr	5	24	['KIPLIH']	1	Cr_0_5_Square pyramidal_['C', 'C', 'C', 'C', 'C']
AYIZIS	Cr	0	0	6	326	Octahedral	1.36	('As', 'As', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'H24-C26-As2']	H24-C30-O4-Cr-As2	5	24	['AYIZIS']	1	Cr_0_6_Octahedral_['As', 'As', 'C', 'C', 'C', 'C']
MISLAB	Cr	0	0	6	306	Octahedral	1.79	('As', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H34-C15-N2-Al-Si2-As']	H34-C20-N2-O5-Al-Si2-Cr-As	5	24	['MISLAB']	1	Cr_0_6_Octahedral_['As', 'C', 'C', 'C', 'C', 'C']
IDUMIE	Cr	0	0	6	150	Octahedral	0.09	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H10-C5-S']	H10-C10-O5-S-Cr	5	24	['IDUMIE']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
KARWEF	Cr	0	0	6	162	Octahedral	0.06	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H10-C7-O2']	H10-C12-O7-Cr	5	24	['KARWEF']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
EJAMUX	Cr	0	0	6	190	Octahedral	0.39	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C10-O3']	H12-C15-O8-Cr	5	24	['EJAMUX']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
XALFIZ	Cr	0	0	6	192	Octahedral	0.13	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C13-O']	H12-C18-O6-Cr	5	24	['XALFIZ', 'ZOCCAV']	2	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
RUJLOZ	Cr	0	0	6	210	Octahedral	0.28	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C16-O']	H12-C21-O6-Cr	5	24	['RUJLOZ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
JOKGEV	Cr	0	0	6	178	Octahedral	0.24	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H13-C8-N-O2']	H13-C13-N-O7-Cr	5	24	['JOKGEV']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
MEAMCR10	Cr	0	0	6	196	Octahedral	0.49	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H14-C11-N2-O']	H14-C16-N2-O6-Cr	5	24	['MEAMCR10']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
SIMQOU	Cr	0	0	6	186	Octahedral	0.09	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H14-C9-O3']	H14-C14-O8-Cr	5	24	['SIMQOU']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
JELGAJ	Cr	0	0	6	220	Octahedral	0.22	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H15-C16-N-O']	H15-C21-N-O6-Cr	5	24	['JELGAJ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
QEHQID	Cr	0	0	6	186	Octahedral	0.10	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H15-C9-N-O2']	H15-C14-N-O7-Cr	5	24	['QEHQID']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
QESZET	Cr	0	0	6	190	Octahedral	0.28	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H16-C11-N2']	H16-C16-N2-O5-Cr	5	24	['QESZET']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
NEXNEJ	Cr	0	0	6	202	Octahedral	0.07	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H16-C14-O']	H16-C19-O6-Cr	5	24	['NEXNEJ', 'UDUCAZ']	2	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
CHVICR	Cr	0	0	6	186	Octahedral	0.41	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H17-C10-N-O']	H17-C15-N-O6-Cr	5	24	['CHVICR']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
JOKLIE	Cr	0	0	6	202	Octahedral	0.25	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H17-C10-N-O3']	H17-C15-N-O8-Cr	5	24	['JOKLIE']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
PURBUC	Cr	0	0	6	208	Octahedral	0.18	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H18-C12-O3']	H18-C17-O8-Cr	5	24	['PURBUC']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
HODGAI	Cr	0	0	6	234	Octahedral	0.36	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H21-C12-N-O5']	H21-C17-N-O10-Cr	5	24	['HODGAI']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
REHSEC	Cr	0	0	6	232	Octahedral	0.28	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H21-C13-N-O4']	H21-C18-N-O9-Cr	5	24	['REHSEC']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
JUSXEA	Cr	0	0	6	226	Octahedral	0.27	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H21-C16-N-O']	H21-C21-N-O6-Cr	5	24	['JUSXEA']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
ZUMMIG	Cr	0	0	6	248	Octahedral	0.07	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H22-C14-O6']	H22-C19-O11-Cr	5	24	['ZUMMIG', 'PUTMOJ']	2	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
OGOGEW	Cr	0	0	6	264	Octahedral	0.48	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H22-C22-O2']	H22-C27-O7-Cr	5	24	['OGOGEW']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
