refcode,Charge,low spin,low spin energy,low spin expectation,Theoretical LS expecation,high spin,high spin energy,high spin expectation,Theoretical HS expectation,splitting,rel_m,multiplicity
AROFIX,1.0,0.5,-3465.664476,0.9539,0.75,2.5,-3465.697873,8.7597,8.75,-20.957028897925,1.0515682599653000,6.0
BEDLOM,-1.0,0.5,-3479.840689,1.1348,0.75,2.5,-3479.882704,8.7588,8.75,-26.364679865505000,1.062967455387950,6.0
BETCUB,0.0,0.5,-3118.844133,1.0969,0.75,2.5,-3118.877396,8.7611,8.75,-20.872810847930000,1.0490257481126100,6.0
BOFFIL,0.0,0.0,-2321.004074,0.0,0.0,2.0,-2321.030026,6.0444,6.0,-16.284862990010000,1.0968424366406600,5.0
BOMFER,2.0,0.0,-2095.45605,0.0,0.0,2.0,-2095.49667,6.0061,6.0,-25.489881421745000,1.1137277162328700,5.0
BOMXAC10,0.0,0.5,-3099.604108,1.0652,0.75,2.5,-3099.643329,8.7611,8.75,-24.611418322505,1.0292453475327100,6.0
BQIFEC10,-2.0,0.0,-1976.707655,0.0,0.0,2.0,-1976.635646,6.0434,6.0,45.18635668588,0.9075517871408040,1.0
CAFNIG,0.0,0.5,-3388.873979,0.7724,0.75,2.5,-3388.897306,8.7593,8.75,-14.638045883495000,1.0585736408757100,6.0
CAXLIW,0.0,0.5,-3381.640182,1.0711,0.75,2.5,-3381.674414,8.7608,8.75,-21.481451137265000,1.0454682876733900,6.0
CIDZFE,1.0,0.5,-3086.156573,0.8913,0.75,2.5,-3086.18094,8.7605,8.75,-15.290417309885,1.0500944136168200,6.0
CIRTII,2.0,0.0,-2353.678556,0.0,0.0,2.0,-2353.704152,6.0066,6.0,-16.061162128355,1.126014714036500,5.0
COKKET,-1.0,0.5,-2208.967864,0.7686,0.75,2.5,-2208.843235,8.771,8.75,78.20599442721,0.9393124150644130,2.0
CUFYAF,-1.0,0.5,-2478.614485,0.7867,0.75,2.5,-2478.630896,8.7582,8.75,-10.297939177695000,1.0406464143324900,6.0
DEKHIK,0.0,0.5,-3292.071197,0.9397,0.75,2.5,-3292.101608,8.7598,8.75,-19.083674586815,1.0419767090242300,6.0
DOXXIY,0.0,0.5,-3133.210113,0.9848,0.75,2.5,-3133.231182,8.7683,8.75,-13.22108550683,1.0901725585994300,6.0
